,bedrooms,waterfront,view,condition,grade,sqft_above,sqft_basement,zipcode,price,bat_bed,sqft_floors
5909,3,0,0,3,8,2980,0,98033,817250,0.6666666666666666,1490.0
5910,4,0,0,3,8,1810,790,98072,440000,0.5,1810.0
5911,2,0,0,4,7,1550,0,98103,526000,1.0,775.0
5912,3,0,0,3,10,3330,0,98077,762500,0.6666666666666666,1665.0
5913,4,0,0,3,8,2200,0,98030,325000,0.5,1100.0
5914,4,0,0,3,11,3840,0,98014,840000,1.0,1920.0
5915,2,0,0,3,6,840,0,98136,377500,0.5,840.0
5916,3,0,0,4,6,1270,0,98198,212500,0.6666666666666666,1270.0
5917,4,0,0,3,10,3240,0,98052,749400,0.5,1620.0
5918,3,1,3,4,8,2480,0,98070,663000,0.6666666666666666,1240.0
5920,3,0,0,3,7,1060,720,98178,261000,0.3333333333333333,1060.0
5921,4,0,0,3,8,1850,0,98028,515000,0.5,925.0
5922,3,0,0,3,8,2200,0,98038,410000,0.6666666666666666,1100.0
5923,3,0,0,3,8,2760,0,98058,336000,0.6666666666666666,2760.0
5924,2,0,0,3,7,1090,0,98115,440000,0.5,1090.0
5925,4,0,0,3,9,3090,0,98006,908950,0.75,1545.0
5926,2,0,0,5,7,820,0,98040,554000,0.5,820.0
5927,3,0,0,3,7,1300,145,98027,387000,0.6666666666666666,650.0
5928,4,0,0,3,7,1810,0,98055,268643,0.5,905.0
5929,3,0,0,3,7,920,700,98117,514000,0.6666666666666666,920.0
5930,2,0,0,3,7,1060,0,98115,420000,1.0,530.0
5931,3,0,0,5,7,1050,0,98042,199000,0.6666666666666666,1050.0
5932,3,0,0,4,7,1010,0,98188,225000,0.3333333333333333,1010.0
5933,4,0,0,4,8,2050,0,98022,320000,0.5,1025.0
5934,2,0,0,5,6,970,0,98031,204995,0.5,970.0
5935,3,0,0,3,8,1540,0,98029,376000,0.6666666666666666,770.0
5936,4,0,0,3,9,3000,0,98029,705000,0.75,1500.0
5937,4,0,2,3,9,3190,0,98065,725995,0.5,1595.0
5938,4,0,0,3,7,1100,770,98058,285000,0.5,1100.0
5939,4,0,0,3,8,2200,0,98001,285000,0.5,1100.0
5940,4,0,0,3,9,3070,0,98075,731000,0.5,1535.0
5942,4,0,0,3,7,2440,0,98034,510000,0.5,2440.0
5943,2,0,0,3,7,990,0,98103,620000,0.5,990.0
5944,3,0,0,3,11,4160,0,98053,1110000,1.3333333333333333,2080.0
5945,4,0,0,3,9,2870,800,98177,796000,1.0,1435.0
5946,3,0,0,3,5,910,0,98188,255000,0.6666666666666666,910.0
5947,3,0,0,4,9,1940,0,98199,807000,0.6666666666666666,970.0
5948,4,0,0,3,9,1780,0,98038,315000,0.5,890.0
5949,3,0,0,4,8,2200,0,98052,637000,0.6666666666666666,1100.0
5951,3,0,0,3,8,1220,850,98074,490000,0.6666666666666666,1220.0
5952,3,0,0,3,7,1020,1020,98188,253000,0.6666666666666666,1020.0
5953,4,0,0,3,8,2320,0,98042,325900,0.5,1160.0
5954,2,0,0,3,7,870,570,98118,425000,1.0,870.0
5955,4,0,0,3,7,1700,0,98038,215000,0.5,850.0
5956,4,0,0,3,7,1700,0,98038,315000,0.5,850.0
5957,3,0,0,3,8,1180,870,98112,724800,0.6666666666666666,1180.0
5958,2,0,0,4,6,800,0,98133,295000,0.5,800.0
5959,3,0,0,3,8,1350,450,98177,509007,0.6666666666666666,1350.0
5960,5,0,0,3,6,1460,0,98030,306000,0.4,730.0
5961,3,0,0,3,7,1290,0,98023,205000,0.6666666666666666,1290.0
5962,3,0,0,4,7,1200,700,98031,275000,0.6666666666666666,1200.0
5963,3,0,2,3,8,1480,0,98122,685000,0.6666666666666666,1480.0
5964,4,0,0,3,7,1220,870,98034,465000,0.5,1220.0
5965,4,0,0,3,8,1330,620,98033,560000,0.5,1330.0
5966,3,0,0,3,7,1250,0,98008,458500,0.6666666666666666,1250.0
5967,3,0,0,3,6,990,0,98008,354000,0.3333333333333333,990.0
5968,3,0,0,3,9,2740,0,98058,441000,0.6666666666666666,1370.0
5969,3,0,0,2,7,1110,150,98106,194000,0.6666666666666666,1110.0
5970,4,0,0,4,8,2150,0,98031,316500,0.5,1075.0
5971,3,0,0,4,7,1230,520,98117,524950,0.6666666666666666,615.0
5972,3,0,4,4,8,1920,960,98116,1050000,0.6666666666666666,960.0
5973,4,0,0,4,9,2590,0,98005,925000,0.5,1295.0
5974,3,0,0,4,7,1830,600,98103,780000,0.6666666666666666,915.0
5975,2,0,0,3,6,1470,0,98038,241000,1.0,735.0
5976,3,0,0,5,7,1270,750,98166,519000,1.0,1270.0
5977,2,0,0,4,6,610,0,98136,286000,0.5,610.0
5978,3,0,0,3,8,1500,1500,98125,400000,0.6666666666666666,1500.0
5979,2,0,0,4,5,920,0,98024,255000,0.5,920.0
5980,3,0,0,3,6,1070,0,98146,152000,0.6666666666666666,1070.0
5981,4,0,0,4,8,3410,0,98052,599000,0.5,1705.0
5982,4,0,0,3,7,1820,0,98019,330000,0.5,910.0
5983,2,0,0,3,7,1060,0,98133,461000,0.5,1060.0
5984,5,0,0,3,9,3070,0,98059,620000,0.4,1535.0
5985,4,0,0,4,7,1840,460,98038,352500,0.5,1840.0
5986,3,0,0,3,7,1260,350,98034,435000,0.6666666666666666,1260.0
5987,5,0,0,3,9,2830,0,98052,725000,0.6,1415.0
5988,3,0,0,3,7,970,0,98028,300000,0.3333333333333333,970.0
5989,3,0,0,3,7,1680,0,98038,252000,0.6666666666666666,840.0
5990,4,0,0,4,8,1260,780,98033,464625,0.75,1260.0
5991,3,0,0,3,7,1450,0,98155,340000,0.3333333333333333,725.0
5993,5,0,0,4,7,1120,750,98027,455000,0.4,1120.0
5994,4,0,0,3,8,2490,0,98070,495000,1.0,1245.0
5995,4,0,0,3,9,2640,710,98117,925000,0.5,1320.0
5996,4,0,0,3,9,3190,0,98065,587000,0.75,1595.0
5997,3,0,0,4,6,780,780,98199,524000,0.6666666666666666,780.0
5998,4,0,0,3,9,1960,790,98103,1030000,0.5,980.0
5999,2,0,0,4,8,920,0,98198,176000,0.5,920.0
6000,2,0,0,3,6,1140,0,98106,249900,0.5,1140.0
6001,3,0,0,3,7,2520,0,98019,499500,0.6666666666666666,1260.0
6002,5,0,0,5,9,1620,1530,98011,600000,0.8,1620.0
6003,4,0,0,3,7,2040,0,98168,294000,0.5,1020.0
6004,4,0,0,3,7,1780,0,98058,272000,0.5,1780.0
6005,3,0,0,3,8,2240,0,98028,390000,0.6666666666666666,1120.0
6006,4,0,3,4,9,2320,950,98166,700000,0.5,2320.0
6007,5,0,0,3,9,3110,0,98065,635000,0.6,1555.0
6008,4,0,0,3,8,1660,190,98112,920000,0.5,830.0
6009,3,0,0,4,7,1190,380,98033,500000,0.6666666666666666,1190.0
6010,2,0,0,3,6,750,0,98106,263500,0.5,750.0
6011,4,0,0,4,10,2240,0,98040,975000,0.5,1120.0
6012,3,0,0,3,8,1870,0,98029,575000,0.6666666666666666,935.0
6013,4,0,0,4,9,2683,0,98052,822000,0.5,1341.5
6014,3,0,0,3,7,1490,0,98125,300000,0.3333333333333333,1490.0
6015,4,0,0,3,8,2340,0,98019,487600,0.5,1170.0
6016,4,0,0,3,7,850,850,98006,500000,0.5,850.0
6017,2,0,0,3,9,1450,0,98109,680000,1.0,483.3333333333333
6018,3,0,2,3,9,3310,0,98023,419000,0.6666666666666666,1655.0
6019,4,0,0,3,6,1520,0,98199,450000,0.5,1520.0
6020,5,0,0,3,7,1260,0,98119,650000,0.4,630.0
6021,3,0,0,4,8,1840,0,98052,550000,0.6666666666666666,1840.0
6022,4,0,1,4,6,1070,680,98108,330000,0.5,1070.0
6023,4,0,0,4,6,1450,0,98030,282510,0.25,725.0
6025,2,0,0,3,7,1020,240,98003,230000,1.0,1020.0
6026,4,0,0,3,8,2100,0,98116,750000,0.5,1050.0
6027,4,0,0,3,8,2430,0,98092,321000,0.5,1215.0
6029,4,0,0,3,7,1370,460,98146,245000,0.5,1370.0
6030,2,0,0,3,6,1310,0,98103,510000,0.5,1310.0
6031,4,0,0,3,9,2370,720,98052,751000,0.75,1185.0
6032,4,0,0,4,9,2560,0,98075,675000,0.5,1280.0
6033,3,0,0,3,8,1930,0,98023,295000,0.6666666666666666,1930.0
6034,2,0,0,2,7,1260,200,98115,312000,0.5,1260.0
6035,3,0,0,3,9,2560,900,98077,730000,1.0,1280.0
6036,5,0,0,3,9,2670,620,98052,762500,0.8,1335.0
6037,3,0,0,3,6,820,0,98106,150000,0.3333333333333333,410.0
6038,3,0,0,3,6,760,720,98133,270000,0.3333333333333333,760.0
6039,4,0,0,4,7,1420,0,98008,400000,0.5,1420.0
6040,3,0,0,3,8,2790,0,98075,650000,0.6666666666666666,1395.0
6041,2,0,0,4,8,970,420,98116,530000,1.0,970.0
6042,3,0,0,4,7,950,0,98006,248000,0.3333333333333333,950.0
6043,4,0,0,5,7,1780,1220,98115,760000,1.0,1780.0
6044,4,0,0,3,7,1280,0,98198,199000,0.25,640.0
6045,2,0,0,3,7,870,0,98188,240000,0.5,870.0
6046,3,0,0,3,7,1360,0,98199,415000,0.6666666666666666,680.0
6047,3,0,0,3,7,1000,0,98059,228000,0.3333333333333333,1000.0
6048,4,0,0,3,8,1980,760,98133,525000,0.5,1980.0
6049,3,0,0,4,7,810,750,98125,399950,0.6666666666666666,810.0
6050,4,0,0,3,9,2590,0,98052,781000,0.5,1295.0
6051,3,0,0,3,9,1560,290,98115,827000,0.6666666666666666,780.0
6052,5,0,0,4,7,2500,0,98034,525000,0.4,1250.0
6053,4,0,0,3,7,3280,0,98053,671300,0.5,1640.0
6054,2,0,0,3,5,670,0,98126,175000,0.5,670.0
6055,5,0,0,4,10,2150,740,98040,1100000,0.6,2150.0
6056,5,0,0,3,8,1500,1500,98004,800000,0.4,1500.0
6057,4,0,0,3,7,1920,0,98038,329950,0.5,960.0
6058,4,0,0,3,7,1960,0,98034,445000,0.75,980.0
6059,3,0,0,3,7,1140,860,98032,237000,0.6666666666666666,1140.0
6060,6,0,0,3,9,2610,990,98199,1110000,0.6666666666666666,1305.0
6061,4,0,0,3,9,2740,0,98038,438900,0.5,1370.0
6063,4,0,0,3,8,2310,0,98029,600000,0.5,1155.0
6064,4,0,0,3,9,2095,0,98052,670000,0.5,1047.5
6065,2,0,0,3,8,1560,0,98053,519000,1.0,1560.0
6066,3,0,0,3,8,1390,490,98058,320000,0.6666666666666666,1390.0
6067,2,0,0,3,7,840,0,98115,270000,1.0,420.0
6068,3,0,0,3,9,2730,0,98005,1000000,0.6666666666666666,1365.0
6069,1,0,0,3,6,860,0,98122,330000,1.0,860.0
6070,3,0,0,3,7,1510,810,98005,657500,0.6666666666666666,1510.0
6071,3,0,0,3,7,1540,0,98028,450000,0.6666666666666666,1540.0
6072,3,0,0,3,5,890,0,98014,150000,0.3333333333333333,445.0
6073,4,0,0,3,10,4290,0,98010,792500,0.5,2145.0
6074,3,0,0,4,9,1950,0,98034,540000,0.6666666666666666,975.0
6075,3,0,0,4,7,1010,0,98003,229900,0.3333333333333333,1010.0
6076,4,0,0,3,8,2830,0,98038,533000,0.5,1415.0
6077,4,0,0,4,7,1000,500,98002,239000,0.5,1000.0
6078,3,0,0,3,10,3370,0,98038,713900,0.6666666666666666,3370.0
6079,4,0,0,3,9,3160,0,98092,427500,0.5,1580.0
6080,3,0,0,4,7,1110,0,98133,302000,0.3333333333333333,555.0
6082,3,0,0,3,8,2650,510,98011,555000,0.6666666666666666,1325.0
6083,3,0,0,3,7,2100,0,98144,495000,0.6666666666666666,1050.0
6084,3,0,0,3,7,2240,0,98033,495000,0.6666666666666666,2240.0
6085,2,1,2,5,6,560,500,98070,340000,0.5,560.0
6086,4,0,0,4,9,2350,0,98042,464950,0.5,2350.0
6087,4,0,0,3,8,1940,0,98092,320000,0.5,970.0
6088,1,0,0,3,7,1160,0,98072,440000,1.0,1160.0
6089,3,0,0,5,8,1840,0,98177,686000,0.6666666666666666,920.0
6090,4,0,0,3,8,1620,640,98008,555000,0.5,1620.0
6091,2,0,0,4,6,840,0,98117,361500,0.5,840.0
6093,4,0,0,4,6,1600,0,98002,154950,0.25,1600.0
6094,3,0,0,3,7,1370,0,98042,247200,0.6666666666666666,1370.0
6095,3,0,0,3,7,1490,470,98023,250000,0.6666666666666666,1490.0
6096,3,0,0,4,7,1470,0,98118,590300,0.6666666666666666,735.0
6097,5,0,0,4,8,1370,1370,98006,541125,0.6,1370.0
6098,2,0,0,3,7,1090,0,98027,310000,1.0,545.0
6099,4,0,1,3,8,1680,780,98034,704111,0.75,1680.0
6100,3,0,0,4,7,1820,0,98001,277500,0.6666666666666666,1820.0
6101,4,0,0,5,7,980,980,98188,325000,0.75,980.0
6102,3,0,0,3,7,1760,0,98019,289200,0.6666666666666666,880.0
6103,1,0,0,4,6,720,0,98118,185000,1.0,720.0
6105,4,0,0,2,7,1370,0,98155,420550,0.5,1370.0
6106,4,0,0,3,8,1550,820,98155,603000,0.5,1550.0
6107,3,0,0,3,7,1230,160,98122,345000,0.3333333333333333,615.0
6108,3,0,0,5,7,920,920,98103,650000,0.6666666666666666,920.0
6109,5,0,3,5,7,1500,1290,98058,589950,0.6,1500.0
6110,2,0,0,3,8,1460,0,98106,309950,1.0,730.0
6111,3,0,0,4,9,2620,0,98027,775000,0.6666666666666666,1310.0
6112,4,0,0,3,7,1330,900,98115,590000,0.5,665.0
6113,4,0,0,3,8,2420,830,98122,863500,0.75,1210.0
6114,3,0,0,3,7,1190,0,98199,517500,0.3333333333333333,1190.0
6115,3,0,0,5,7,1290,800,98103,700000,1.0,645.0
6116,3,0,0,3,10,2090,490,98177,699000,0.6666666666666666,2090.0
6117,3,0,0,3,7,1690,410,98019,350000,0.6666666666666666,845.0
6118,4,0,0,3,10,3160,0,98074,795000,0.5,1580.0
6119,3,0,0,3,7,1360,730,98133,543000,0.6666666666666666,1360.0
6120,3,0,0,3,7,1570,0,98019,325000,0.6666666666666666,785.0
6121,3,0,0,3,7,1020,0,98108,337500,0.3333333333333333,510.0
6122,2,0,0,4,7,1300,0,98034,425000,0.5,1300.0
6123,3,0,0,3,9,2110,0,98006,780000,0.6666666666666666,2110.0
6124,2,0,0,4,5,1210,0,98059,259000,0.5,1210.0
6125,4,0,0,4,8,1850,140,98006,524400,0.5,1850.0
6126,3,0,0,3,7,1630,0,98001,260000,0.6666666666666666,1630.0
6127,2,0,0,3,7,1384,0,98028,273000,1.0,692.0
6128,4,0,0,3,10,3380,0,98001,639900,0.5,1690.0
6129,4,0,0,3,10,2480,0,98001,420000,0.5,1240.0
6130,3,0,0,4,7,1270,0,98007,510500,0.3333333333333333,1270.0
6131,4,0,0,3,6,1010,0,98155,290000,0.25,505.0
6132,3,0,0,4,6,990,500,98056,226000,0.6666666666666666,990.0
6133,2,0,0,4,6,820,0,98133,300000,0.5,820.0
6134,3,0,0,3,7,1810,0,98053,407450,0.6666666666666666,1810.0
6135,4,0,0,3,7,1530,1530,98178,390000,0.5,1530.0
6136,6,0,4,3,8,2130,850,98177,1060000,0.5,2130.0
6137,3,0,0,3,11,3440,0,98023,610000,0.6666666666666666,1720.0
6138,3,0,0,3,7,1220,600,98188,239975,0.6666666666666666,1220.0
6139,3,0,0,3,7,1480,840,98178,375000,0.6666666666666666,1480.0
6140,4,0,0,3,9,2620,0,98029,742500,0.5,1310.0
6141,4,0,0,4,8,2020,170,98146,450000,0.5,2020.0
6142,3,0,0,3,8,1780,0,98058,300000,0.6666666666666666,1780.0
6143,3,0,0,3,7,1240,960,98031,216600,0.6666666666666666,1240.0
6144,3,0,0,3,7,1600,0,98115,525000,0.6666666666666666,800.0
6145,4,0,2,4,8,1650,800,98166,455000,0.5,1650.0
6146,4,0,0,3,8,2680,0,98027,390000,0.5,1340.0
6147,3,0,0,4,7,880,970,98033,450000,0.6666666666666666,880.0
6148,4,0,0,3,7,1740,0,98122,382000,0.25,870.0
6149,3,0,0,4,7,1170,320,98019,287000,0.6666666666666666,1170.0
6150,4,0,3,2,8,1960,0,98027,460000,0.5,1960.0
6151,3,0,0,3,7,1380,0,98052,435000,0.6666666666666666,690.0
6152,2,0,0,3,8,1310,200,98199,575000,0.5,655.0
6153,3,0,0,3,7,1410,0,98109,626700,0.6666666666666666,1410.0
6154,4,0,0,3,7,1440,0,98178,352000,0.5,720.0
6155,3,0,0,4,7,920,0,98004,650000,0.3333333333333333,920.0
6156,3,0,0,4,7,1090,0,98002,197000,0.3333333333333333,1090.0
6157,8,0,0,3,7,1470,1320,98133,340000,0.375,1470.0
6158,3,0,0,3,7,1840,0,98033,560000,0.6666666666666666,1840.0
6159,3,0,0,3,7,1340,0,98034,354000,0.6666666666666666,1340.0
6160,4,0,0,3,9,2570,0,98074,670000,0.5,1285.0
6161,4,0,0,3,9,3010,0,98029,769000,1.0,1505.0
6162,4,0,0,3,7,1080,1080,98103,650000,0.5,1080.0
6163,3,0,0,3,7,1290,850,98004,650000,0.6666666666666666,1290.0
6164,4,0,0,4,7,1050,1040,98031,289950,0.5,1050.0
6165,3,0,0,4,7,1240,570,98058,300000,0.6666666666666666,1240.0
6166,4,0,2,5,7,1070,690,98126,471000,0.5,1070.0
6167,4,0,0,3,9,2500,0,98029,639000,0.5,1250.0
6168,2,0,2,3,7,930,0,98178,287000,0.5,930.0
6169,4,0,0,3,10,3030,0,98075,740000,0.5,1515.0
6170,3,0,0,4,7,940,520,98117,499922,0.6666666666666666,940.0
6171,4,0,0,3,9,2940,0,98029,675000,0.5,1470.0
6172,5,0,0,3,9,3360,0,98011,738515,0.6,1680.0
6173,3,0,0,3,8,1210,900,98108,445000,0.6666666666666666,1210.0
6174,4,0,2,5,10,1980,760,98125,1040000,0.5,1980.0
6175,2,0,0,4,7,880,190,98144,346000,0.5,880.0
6176,3,0,0,3,7,1180,500,98118,450000,0.6666666666666666,590.0
6177,4,0,0,4,9,2260,0,98042,350000,0.5,2260.0
6179,4,0,0,3,8,2380,0,98075,594950,0.5,2380.0
6181,2,0,0,4,7,1050,0,98003,219000,0.5,525.0
6182,4,0,0,3,7,2070,0,98065,450000,0.5,1035.0
6183,4,0,0,3,7,1790,0,98056,402000,0.5,895.0
6184,2,0,0,3,6,840,0,98108,275000,0.5,840.0
6185,3,0,0,5,7,990,0,98122,421500,0.6666666666666666,990.0
6186,3,0,2,3,9,3180,940,98014,560000,1.0,1590.0
6187,3,0,0,4,7,1620,0,98059,314000,0.6666666666666666,1620.0
6188,4,0,0,4,7,1340,0,98146,287000,0.5,1340.0
6189,4,0,0,3,6,1500,0,98055,277000,0.25,750.0
6190,2,0,0,3,7,1300,0,98116,337500,0.5,1300.0
6191,4,0,0,3,10,3100,0,98052,792000,0.75,1550.0
6192,3,0,0,3,8,2200,1180,98019,435000,0.6666666666666666,1100.0
6193,4,0,0,4,7,1450,1210,98055,313100,0.5,1450.0
6194,3,0,0,3,7,1100,600,98117,575000,0.6666666666666666,550.0
6195,4,0,2,3,8,1240,600,98177,510000,0.5,1240.0
6196,2,0,0,4,6,890,0,98126,299950,0.5,890.0
6197,3,0,0,3,9,1580,1220,98199,1030000,1.0,1580.0
6198,4,0,0,4,7,1340,670,98133,364000,0.5,1340.0
6199,3,0,0,5,7,1380,0,98133,335000,0.3333333333333333,1380.0
6200,3,0,0,3,6,1210,0,98198,219950,0.3333333333333333,1210.0
6201,3,0,0,3,7,1280,0,98038,215000,0.6666666666666666,1280.0
6202,4,0,0,4,8,3670,420,98092,640000,0.5,1835.0
6203,3,0,0,3,7,1180,400,98199,535000,0.3333333333333333,1180.0
6204,4,0,0,4,7,1140,770,98003,253000,0.5,1140.0
6205,2,0,2,3,8,1210,530,98112,650000,1.0,605.0
6206,3,0,0,4,8,1130,0,98117,672000,0.6666666666666666,565.0
6207,3,0,3,4,8,1130,840,98177,606000,0.6666666666666666,1130.0
6208,3,0,0,3,8,1280,500,98059,292000,0.6666666666666666,1280.0
6209,3,0,0,3,8,1670,0,98030,289950,0.6666666666666666,1670.0
6210,4,0,0,4,7,1360,0,98023,257500,0.5,1360.0
6211,3,0,0,3,7,1290,550,98133,380000,0.6666666666666666,1290.0
6212,3,0,0,3,8,1255,0,98103,360000,0.6666666666666666,418.3333333333333
6213,3,0,0,4,7,1240,600,98031,269500,0.6666666666666666,1240.0
6214,4,0,0,3,9,2960,0,98038,449000,0.5,1480.0
6215,4,0,0,3,7,1430,0,98125,375000,0.5,715.0
6217,4,0,0,3,11,3480,0,98072,810000,0.5,1740.0
6218,5,0,0,3,10,4260,0,98074,994000,0.6,2130.0
6219,5,0,0,4,7,1080,740,98031,275000,0.4,1080.0
6220,2,0,0,3,7,1290,0,98053,300000,0.5,645.0
6221,5,0,0,3,7,2130,0,98168,380000,0.4,1065.0
6222,3,0,0,4,7,1170,0,98198,200000,0.6666666666666666,1170.0
6223,3,0,0,3,9,1350,380,98102,635000,1.3333333333333333,450.0
6224,2,0,0,3,6,880,0,98126,280000,0.5,880.0
6225,3,0,0,3,8,2380,0,98065,574000,0.6666666666666666,1190.0
6226,4,0,0,3,6,1330,0,98004,1050000,0.25,1330.0
6227,3,0,2,3,8,1780,0,98045,545000,0.6666666666666666,890.0
6228,3,0,0,4,7,1220,0,98006,271950,0.6666666666666666,1220.0
6229,5,0,2,4,8,1540,950,98023,630000,0.4,1540.0
6230,2,0,0,3,7,1180,0,98011,400000,0.5,1180.0
6231,4,0,0,3,8,2310,0,98092,334000,0.5,1155.0
6232,4,0,0,4,7,1440,0,98144,332500,0.5,720.0
6233,2,0,0,3,9,1080,540,98144,525000,1.0,540.0
6234,3,0,0,3,8,2620,0,98038,408000,0.6666666666666666,1310.0
6235,4,0,0,3,9,3710,0,98029,846450,0.5,1855.0
6236,3,0,0,4,7,1040,0,98005,411100,0.6666666666666666,1040.0
6237,5,0,0,4,8,2480,840,98042,409124,0.6,1240.0
6238,2,0,0,5,7,800,0,98146,335950,1.0,800.0
6239,5,0,0,4,7,1240,800,98052,480000,0.4,1240.0
6240,2,0,0,3,7,980,980,98031,280000,1.0,980.0
6241,4,0,0,3,8,2670,0,98075,668000,0.5,1335.0
6242,4,0,0,3,8,2930,0,98034,750000,0.5,1465.0
6243,2,0,0,3,6,830,0,98117,394475,0.5,830.0
6244,5,0,0,3,7,1980,310,98105,848000,0.4,990.0
6245,3,0,0,4,8,2510,0,98112,675000,0.6666666666666666,1255.0
6246,3,0,0,4,6,1280,0,98058,175000,0.3333333333333333,1280.0
6247,4,0,1,3,8,1350,460,98136,560000,0.5,1350.0
6248,5,0,0,3,8,2080,0,98074,538888,0.6,1040.0
6249,4,0,0,3,8,1680,0,98166,359000,0.5,840.0
6250,3,0,0,3,7,1660,0,98019,300000,0.6666666666666666,830.0
6251,3,0,0,4,7,1650,0,98030,273000,0.6666666666666666,825.0
6252,3,0,0,3,9,1280,140,98102,670000,0.6666666666666666,640.0
6253,4,0,0,3,8,1740,500,98074,530000,0.5,1740.0
6254,3,0,0,3,7,910,320,98103,625000,0.6666666666666666,910.0
6255,3,0,0,4,6,1260,0,98198,248000,0.3333333333333333,1260.0
6256,3,0,0,3,8,2060,0,98029,533000,0.6666666666666666,1030.0
6257,4,0,0,3,8,2190,900,98034,549950,1.0,2190.0
6258,4,0,0,4,8,2010,1210,98177,485000,0.5,2010.0
6259,3,0,0,3,7,2020,0,98038,353500,0.6666666666666666,1010.0
6260,2,0,0,3,9,1910,0,98074,435000,1.0,1910.0
6261,3,0,0,3,6,1000,150,98178,241000,0.3333333333333333,1000.0
6262,4,0,0,3,8,1550,1180,98115,885000,0.75,775.0
6263,6,0,0,3,7,2290,600,98102,799200,0.5,1145.0
6264,3,0,0,4,8,1490,790,98005,760000,0.6666666666666666,1490.0
6265,2,0,0,3,6,1040,0,98118,270000,0.5,1040.0
6266,4,0,0,4,9,2040,400,98052,675000,0.5,2040.0
6267,3,0,0,4,8,1000,720,98052,499000,0.6666666666666666,1000.0
6269,4,0,0,3,8,2570,0,98038,320000,0.5,1285.0
6270,4,0,0,3,10,2320,2040,98038,890000,0.75,2320.0
6271,4,0,0,3,7,1210,850,98001,275000,0.75,1210.0
6272,4,0,0,4,10,3020,0,98042,490000,0.5,1510.0
6273,3,0,0,3,7,1540,800,98122,550000,0.6666666666666666,770.0
6274,5,0,0,5,7,1210,1190,98056,390000,0.4,1210.0
6275,3,0,0,4,7,1110,500,98032,277000,0.6666666666666666,1110.0
6276,3,0,0,3,7,1090,0,98003,236000,0.6666666666666666,1090.0
6277,3,0,0,4,7,1470,0,98092,265953,0.6666666666666666,1470.0
6278,3,0,0,4,8,1240,430,98008,545000,0.6666666666666666,1240.0
6279,3,0,0,3,8,1850,0,98034,535000,0.6666666666666666,925.0
6281,4,0,0,3,9,1920,410,98108,490000,0.75,960.0
6282,4,0,0,4,6,2020,0,98065,319950,0.5,1010.0
6283,3,0,0,5,7,1300,0,98033,625000,0.6666666666666666,1300.0
6284,3,0,0,4,7,1180,0,98031,248000,0.3333333333333333,1180.0
6285,3,0,0,3,8,1320,0,98007,475000,0.6666666666666666,1320.0
6286,6,0,0,4,7,1320,1200,98155,410000,0.5,1320.0
6287,3,0,0,3,9,1680,0,98105,670000,0.6666666666666666,560.0
6288,3,0,0,3,7,2000,0,98027,430000,0.6666666666666666,1000.0
6289,2,0,0,5,6,1180,0,98027,313000,0.5,1180.0
6290,3,0,0,3,9,3330,0,98040,950000,1.0,1665.0
6291,2,0,0,3,8,1880,0,98112,751750,1.0,940.0
6292,4,0,0,3,9,2210,780,98027,760000,0.5,1105.0
6293,3,0,0,4,7,1510,0,98059,310650,0.6666666666666666,1510.0
6294,4,0,0,3,8,3110,0,98092,367500,0.75,1555.0
6295,4,0,0,3,8,2150,0,98115,580000,0.5,1075.0
6296,3,0,0,3,8,1200,700,98122,580000,0.6666666666666666,600.0
6297,4,0,0,3,10,2720,0,98074,665000,0.5,1360.0
6298,3,0,0,4,7,1560,0,98001,239950,0.6666666666666666,780.0
6299,4,0,0,3,8,1990,0,98155,470000,0.5,995.0
6300,3,0,0,5,8,950,790,98115,733000,0.6666666666666666,950.0
6301,4,0,0,3,7,1350,780,98031,250000,0.5,1350.0
6302,4,0,0,5,7,1510,0,98133,402000,0.5,1510.0
6303,5,0,0,3,7,1410,690,98178,295000,0.8,705.0
6304,5,0,0,4,8,1560,784,98023,355000,0.4,1560.0
6305,3,0,0,4,6,1970,0,98058,289000,0.6666666666666666,1970.0
6306,3,0,2,3,7,1470,0,98133,376000,0.6666666666666666,735.0
6307,2,0,0,3,7,940,0,98126,212700,0.5,940.0
6308,3,0,0,4,9,1780,0,98042,325000,0.6666666666666666,1780.0
6309,4,0,0,3,7,2230,0,98019,415000,0.5,1115.0
6310,3,0,0,4,8,2400,1170,98177,935000,0.6666666666666666,2400.0
6311,3,0,0,3,7,1920,0,98019,372000,0.6666666666666666,960.0
6312,3,0,0,3,7,1020,270,98168,240000,0.6666666666666666,1020.0
6313,3,0,0,5,7,1880,0,98059,334950,0.6666666666666666,1880.0
6314,4,0,0,3,9,2960,0,98038,426500,0.5,1480.0
6315,2,0,2,3,8,1300,540,98166,430000,1.0,1300.0
6316,3,0,0,3,7,1090,800,98118,400000,0.6666666666666666,1090.0
6317,3,0,0,4,7,1120,700,98108,455850,0.6666666666666666,1120.0
6319,3,0,0,3,7,1530,0,98028,400000,0.6666666666666666,1530.0
6320,3,0,0,4,7,1030,0,98006,397500,0.3333333333333333,1030.0
6321,3,0,0,3,8,2000,0,98109,755000,0.6666666666666666,666.6666666666666
6322,5,0,0,3,7,1010,720,98058,287000,0.4,1010.0
6323,4,0,0,3,9,3620,0,98038,480000,0.5,1810.0
6324,3,0,0,3,8,2040,0,98045,490000,0.6666666666666666,1020.0
6325,3,0,0,3,8,1680,960,98058,365000,0.6666666666666666,840.0
